"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Hoy inicia la fase 4 de la Copa Perú Excepcional 2021 y estos son todos los detalles que debes saber sobre este tor… https://t.co/jP6QeK0iuG",FALSE,61,NA,2021-10-27 13:09:23,TRUE,NA,"1453348099510964224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TuFPF",2,FALSE,FALSE,NA,NA
"Informamos a la prensa que ya inició el proceso de acreditación para la cobertura de la Copa Perú Excepcional 2021. https://t.co/k0cPWbuZYG",FALSE,39,NA,2021-10-25 20:47:54,FALSE,NA,"1452738712387743748",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TuFPF",3,FALSE,FALSE,NA,NA
"¡El fútbol de menores continúa!  <U+26BD><U+0001F4AA>

<U+0001F534>#EnVivo |  Este lunes 25 de octubre disfruta dos encuentros de la fecha 6 de… https://t.co/W3VAwtiF4C",FALSE,60,NA,2021-10-25 00:26:33,TRUE,NA,"1452431349013438466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",9,FALSE,FALSE,NA,NA
"Le damos la bienvenida a Saúl Barrera, quien se desempeñará como Gerente de Relaciones Públicas en @TuFPF. Le desea… https://t.co/564aKYpfb2",FALSE,96,NA,2021-10-22 23:00:05,TRUE,NA,"1451684816403918848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",4,FALSE,FALSE,NA,NA
"#ComunicadoFPF <U+25B6><U+FE0F> https://t.co/tZYQRz2q0N https://t.co/XCReK7Fhum",FALSE,108,NA,2021-10-22 17:06:51,FALSE,NA,"1451595920567590912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",14,FALSE,FALSE,NA,NA
"¡Gracias por su labor! <U+0001F399><U+FE0F><U+26BD>

Saludamos a los periodistas deportivos del país en su día, quienes trabajan arduamente… https://t.co/HP6QTM1OYx",FALSE,364,NA,2021-10-20 17:00:30,TRUE,NA,"1450869546496184326",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",26,FALSE,FALSE,NA,NA
"¡Estamos en vivo desde FPFPlay!

No te pierdas el clásico del fútbol peruano Universitario vs Alianza Lima por la f… https://t.co/A9tZqgzV0r",FALSE,68,NA,2021-10-18 19:38:07,TRUE,NA,"1450184438550249473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",5,FALSE,FALSE,NA,NA
"Un día como hoy, en 1924, se fundó la @FCF_Oficial.  

¡Muchas felicidades y los mejores deseos! <U+0001F38A> https://t.co/BA62iqhspL",FALSE,351,NA,2021-10-12 15:39:06,FALSE,NA,"1447949960859766784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",16,FALSE,FALSE,NA,NA
"#ComunicadoFPF <U+25B6><U+FE0F> https://t.co/4CNL83QTKh https://t.co/lLDM3xDJO6",FALSE,259,NA,2021-10-09 23:43:59,FALSE,NA,"1446984819708149760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",21,FALSE,FALSE,NA,NA
"¡Hora de triunfar! <U+0001F44A><U+0001F3FB>

No dejes pasar el tiempo y consigue tu Reloj Oficial de la Federación Peruana de Fútbol. 

L… https://t.co/fJmw2CaAy5",FALSE,135,NA,2021-10-06 14:58:23,TRUE,NA,"1445765386184507402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",16,FALSE,FALSE,NA,NA
